Age,Gender,Country,Operating_System,Has_Used_macOS,Owns_MacBook
59,1,4,1,1,1
63,1,1,3,1,0
43,1,2,2,0,1
28,0,4,3,1,1
25,0,1,2,1,1
37,0,0,2,0,1
51,1,0,1,1,0
42,0,0,0,1,0
58,0,1,0,0,1
33,0,1,0,1,1
26,0,0,0,0,0
48,1,0,0,0,1
60,1,1,2,0,1
46,0,2,0,1,1
42,0,1,2,1,0
25,1,0,3,0,0
55,0,1,3,0,1
45,0,0,3,0,0
29,0,2,1,0,1
48,1,4,2,0,0
50,1,0,0,0,1
33,0,0,1,1,0
46,1,3,0,0,0
25,1,2,1,1,0
56,1,3,0,1,0
33,0,0,3,0,1
29,0,0,1,0,1
40,1,4,1,1,1
50,1,0,3,1,1
28,0,0,2,1,0
60,0,2,3,0,0
52,1,1,2,0,0
50,0,0,0,1,0
41,0,0,3,1,1
63,0,2,2,0,0
55,1,3,1,1,1
25,1,2,2,1,0
46,0,2,1,0,0
37,0,2,3,0,0
37,0,4,1,0,1
58,0,1,0,1,0
56,0,2,3,1,1
58,1,0,0,1,0
38,0,0,0,0,1
37,1,3,1,0,0
30,1,0,1,1,1
26,0,3,0,0,0
39,0,3,2,0,1
28,1,1,3,1,0
64,1,2,2,1,0
57,0,2,3,1,0
28,0,2,2,0,0
37,1,3,0,1,0
41,0,2,2,1,1
48,1,4,0,1,0
34,1,4,3,0,0
28,0,4,2,0,1
27,1,3,3,1,1
53,0,0,3,0,0
62,1,0,0,0,1
32,1,3,1,1,1
37,0,4,1,1,0
59,1,0,3,1,0
49,1,1,1,1,0
59,0,2,3,1,0
46,0,0,1,1,1
34,0,1,0,0,1
48,0,2,0,1,0
51,1,4,1,1,0
47,1,0,0,0,0
33,1,1,2,1,0
54,0,1,0,0,1
56,1,3,0,0,0
46,0,3,0,0,0
44,1,0,2,1,0
56,1,2,1,1,0
43,1,0,1,0,1
55,0,1,3,1,0
38,1,3,2,1,0
54,0,3,3,1,1
49,0,0,2,0,0
33,0,1,0,1,0
53,1,0,3,1,1
30,1,0,1,1,0
53,0,1,2,1,1
56,1,2,1,0,1
48,0,2,2,1,1
32,1,3,1,0,0
32,1,0,0,0,0
31,0,4,1,0,0
57,1,1,3,1,0
45,1,3,2,0,0
25,1,3,0,1,0
42,1,2,3,1,0
30,1,1,1,1,0
61,1,4,2,1,0
37,1,4,2,0,0
30,1,0,2,1,0
27,0,0,2,1,0
38,1,2,3,0,0
